pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
4b4r.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,GLA(6_C_)-[FUC(5_C_)]-GAL(4_C_)-NAG(3_C_)-GAL(2_C_)-GLC(1_C_),C GLA 6 C2 C1 GAL 4 O3 C3,C GLA 6 C1 GAL 4 O3 C3 C4,177.307,57.244,"(['GLA(6_C_)', 'GAL(4_C_)'], [31.66, 27.07])","(['6.C', '4.C'], ['4C1', '4C1'])"
4b4r.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,GLA(6_D_)-[FUC(5_D_)]-GAL(4_D_)-NAG(3_D_)-GAL(2_D_)-GLC(1_D_),D GLA 6 C2 C1 GAL 4 O3 C3,D GLA 6 C1 GAL 4 O3 C3 C4,181.992,63.237,"(['GLA(6_D_)', 'GAL(4_D_)'], [31.24, 30.39])","(['6.D', '4.D'], ['4C1', '4C1'])"
3p5g.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_E_)-[FUC(2_E_)]-GAL(1_E_),E GLA 3 C2 C1 GAL 1 O3 C3,E GLA 3 C1 GAL 1 O3 C3 C4,172.991,53.5545,"(['GLA(3_E_)', 'GAL(1_E_)'], [33.01, 42.51])","(['3.E', '1.E'], ['4C1', '4C1'])"
5mu9.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B GLA 3 C2 C1 GAL 1 O3 C3,B GLA 3 C1 GAL 1 O3 C3 C4,177.386,57.1492,"(['GLA(3_B_)', 'GAL(1_B_)'], [7.1, 7.13])","(['3.B', '1.B'], ['4C1', '4C1'])"
6pi0.pdb,DGalpa1-3DGalpb1-ROH,GLA(2_B_)-GAL(1_B_),B GLA 2 C2 C1 GAL 1 O3 C3,B GLA 2 C1 GAL 1 O3 C3 C4,157.449,95.9001,"(['GLA(2_B_)', 'GAL(1_B_)'], [26.15, 55.38])","(['2.B', '1.B'], ['4C1', '-'])"
5jm1.pdb,DGalpa1-3DGalpb1-4DGalpb1-ROH,GLA(3_I_)-GAL(2_I_)-GAL(1_I_),I GLA 3 C2 C1 GAL 2 O3 C3,I GLA 3 C1 GAL 2 O3 C3 C4,218.277,86.4101,"(['GLA(3_I_)', 'GAL(2_I_)'], [21.42, 33.14])","(['3.I', '2.I'], ['4C1', '4C1'])"
6n1b.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B GLA 3 C2 C1 GAL 1 O3 C3,B GLA 3 C1 GAL 1 O3 C3 C4,179.526,60.3415,"(['GLA(3_B_)', 'GAL(1_B_)'], [18.14, 22.98])","(['3.B', '1.B'], ['4C1', '4C1'])"
5d61.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B GLA 3 C2 C1 GAL 1 O3 C3,B GLA 3 C1 GAL 1 O3 C3 C4,180.622,59.1869,"(['GLA(3_B_)', 'GAL(1_B_)'], [14.01, 14.03])","(['3.B', '1.B'], ['4C1', '4C1'])"
2ygm.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-4DGlcpNAcb1-ROH,GLA(4_C_)-[FUC(3_C_)]-GAL(2_C_)-NAG(1_C_),C GLA 4 C2 C1 GAL 2 O3 C3,C GLA 4 C1 GAL 2 O3 C3 C4,171.79,77.7991,"(['GLA(4_C_)', 'GAL(2_C_)'], [54.06, 56.62])","(['4.C', '2.C'], ['4C1', '-'])"
2ygm.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-4DGlcpNAcb1-ROH,GLA(4_D_)-[FUC(3_D_)]-GAL(2_D_)-NAG(1_D_),D GLA 4 C2 C1 GAL 2 O3 C3,D GLA 4 C1 GAL 2 O3 C3 C4,186.292,58.246,"(['GLA(4_D_)', 'GAL(2_D_)'], [50.96, 52.67])","(['4.D', '2.D'], ['4C1', '4C1'])"
7jwf.pdb,DGalpa1-3DGalpb1-ROH,GLA(2_G_)-GAL(1_G_),G GLA 2 C2 C1 GAL 1 O3 C3,G GLA 2 C1 GAL 1 O3 C3 C4,144.993,63.2757,"(['GLA(2_G_)', 'GAL(1_G_)'], [29.54, 31.18])","(['2.G', '1.G'], ['4C1', '4C1'])"
7jwf.pdb,DGalpa1-3DGalpb1-ROH,GLA(2_H_)-GAL(1_H_),H GLA 2 C2 C1 GAL 1 O3 C3,H GLA 2 C1 GAL 1 O3 C3 C4,145.606,66.7126,"(['GLA(2_H_)', 'GAL(1_H_)'], [27.76, 30.05])","(['2.H', '1.H'], ['4C1', '4C1'])"
7jwf.pdb,DGalpa1-3DGalpb1-ROH,GLA(2_F_)-GAL(1_F_),F GLA 2 C2 C1 GAL 1 O3 C3,F GLA 2 C1 GAL 1 O3 C3 C4,147.338,68.8348,"(['GLA(2_F_)', 'GAL(1_F_)'], [28.27, 30.2])","(['2.F', '1.F'], ['4C1', '4C1'])"
7jwf.pdb,DGalpa1-3DGalpb1-ROH,GLA(2_E_)-GAL(1_E_),E GLA 2 C2 C1 GAL 1 O3 C3,E GLA 2 C1 GAL 1 O3 C3 C4,153.991,52.1019,"(['GLA(2_E_)', 'GAL(1_E_)'], [30.5, 32.51])","(['2.E', '1.E'], ['4C1', '4C1'])"
6phy.pdb,DGalpa1-3DGalpb1-ROH,GLA(2_B_)-GAL(1_B_),B GLA 2 C2 C1 GAL 1 O3 C3,B GLA 2 C1 GAL 1 O3 C3 C4,180.863,75.8701,"(['GLA(2_B_)', 'GAL(1_B_)'], [24.6, 37.47])","(['2.B', '1.B'], ['4C1', '4C1'])"
7uen.pdb,DGalpa1-3DGalpb1-ROH,GLA(2_A_)-GAL(1_A_),A GLA 2 C2 C1 GAL 1 O3 C3,A GLA 2 C1 GAL 1 O3 C3 C4,199.485,99.0325,"(['GLA(2_A_)', 'GAL(1_A_)'], [19.46, 21.05])","(['2.A', '1.A'], ['4C1', '4C1'])"
2e7q.pdb,DGalpa1-3DGalpb1-4DGlcpa1-ROH,GLA(3_M_)-GAL(2_M_)-GLC(1_M_),M GLA 3 C2 C1 GAL 2 O3 C3,M GLA 3 C1 GAL 2 O3 C3 C4,245.409,228.79,"(['GLA(3_M_)', 'GAL(2_M_)'], [56.12, 64.1])","(['3.M', '2.M'], ['4C1', '4C1'])"
2e7q.pdb,DGalpa1-3DGalpb1-4DGlcpa1-ROH,GLA(3_J_)-GAL(2_J_)-GLC(1_J_),J GLA 3 C2 C1 GAL 2 O3 C3,J GLA 3 C1 GAL 2 O3 C3 C4,231.052,242.71699999999998,"(['GLA(3_J_)', 'GAL(2_J_)'], [47.43, 56.58])","(['3.J', '2.J'], ['4C1', '4C1'])"
2e7q.pdb,DGalpa1-3DGalpb1-4DGlcpa1-ROH,GLA(3_G_)-GAL(2_G_)-GLC(1_G_),G GLA 3 C2 C1 GAL 2 O3 C3,G GLA 3 C1 GAL 2 O3 C3 C4,245.846,225.132,"(['GLA(3_G_)', 'GAL(2_G_)'], [46.01, 61.97])","(['3.G', '2.G'], ['4C1', '4C1'])"
3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_O_)-[FUC(2_O_)]-GAL(1_O_),O GLA 3 C2 C1 GAL 1 O3 C3,O GLA 3 C1 GAL 1 O3 C3 C4,167.116,66.6947,"(['GLA(3_O_)', 'GAL(1_O_)'], [12.61, 11.97])","(['3.O', '1.O'], ['4C1', '4C1'])"
3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_L_)-[FUC(2_L_)]-GAL(1_L_),L GLA 3 C2 C1 GAL 1 O3 C3,L GLA 3 C1 GAL 1 O3 C3 C4,165.951,67.2018,"(['GLA(3_L_)', 'GAL(1_L_)'], [13.49, 12.23])","(['3.L', '1.L'], ['4C1', '4C1'])"
3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_I_)-[FUC(2_I_)]-GAL(1_I_),I GLA 3 C2 C1 GAL 1 O3 C3,I GLA 3 C1 GAL 1 O3 C3 C4,164.939,70.0878,"(['GLA(3_I_)', 'GAL(1_I_)'], [12.98, 12.15])","(['3.I', '1.I'], ['4C1', '4C1'])"
3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_N_)-[FUC(2_N_)]-GAL(1_N_),N GLA 3 C2 C1 GAL 1 O3 C3,N GLA 3 C1 GAL 1 O3 C3 C4,172.602,63.0074,"(['GLA(3_N_)', 'GAL(1_N_)'], [6.31, 7.32])","(['3.N', '1.N'], ['4C1', '4C1'])"
3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_H_)-[FUC(2_H_)]-GAL(1_H_),H GLA 3 C2 C1 GAL 1 O3 C3,H GLA 3 C1 GAL 1 O3 C3 C4,173.353,65.1719,"(['GLA(3_H_)', 'GAL(1_H_)'], [6.0, 7.36])","(['3.H', '1.H'], ['4C1', '4C1'])"
3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_K_)-[FUC(2_K_)]-GAL(1_K_),K GLA 3 C2 C1 GAL 1 O3 C3,K GLA 3 C1 GAL 1 O3 C3 C4,171.803,65.4938,"(['GLA(3_K_)', 'GAL(1_K_)'], [5.9, 8.02])","(['3.K', '1.K'], ['4C1', '4C1'])"
3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_E_)-[FUC(2_E_)]-GAL(1_E_),E GLA 3 C2 C1 GAL 1 O3 C3,E GLA 3 C1 GAL 1 O3 C3 C4,174.572,64.126,"(['GLA(3_E_)', 'GAL(1_E_)'], [6.02, 7.03])","(['3.E', '1.E'], ['4C1', '4C1'])"
3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_F_)-[FUC(2_F_)]-GAL(1_F_),F GLA 3 C2 C1 GAL 1 O3 C3,F GLA 3 C1 GAL 1 O3 C3 C4,165.525,66.7641,"(['GLA(3_F_)', 'GAL(1_F_)'], [13.5, 12.07])","(['3.F', '1.F'], ['4C1', '4C1'])"
7eqt.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_C_)-GAL(2_C_)-BGC(1_C_),C GLA 3 C2 C1 GAL 2 O3 C3,C GLA 3 C1 GAL 2 O3 C3 C4,188.239,100.941,"(['GLA(3_C_)', 'GAL(2_C_)'], [26.07, 39.54])","(['3.C', '2.C'], ['4C1', '4C1'])"
5d62.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B GLA 3 C2 C1 GAL 1 O3 C3,B GLA 3 C1 GAL 1 O3 C3 C4,175.334,59.8027,"(['GLA(3_B_)', 'GAL(1_B_)'], [11.69, 12.55])","(['3.B', '1.B'], ['4C1', '4C1'])"
2obt.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B GLA 3 C2 C1 GAL 1 O3 C3,B GLA 3 C1 GAL 1 O3 C3 C4,179.028,99.0148,"(['GLA(3_B_)', 'GAL(1_B_)'], [55.04, 41.21])","(['3.B', '1.B'], ['4C1', '4C1'])"
2g7c.pdb,DGalpa1-3DGalpb1-4DGlcpNAcb1-ROH,GLA(3_F_)-GAL(2_F_)-NAG(1_F_),F GLA 3 C2 C1 GAL 2 O3 C3,F GLA 3 C1 GAL 2 O3 C3 C4,190.561,95.2879,"(['GLA(3_F_)', 'GAL(2_F_)'], [25.89, 19.23])","(['3.F', '2.F'], ['4C1', '4C1'])"
2g7c.pdb,DGalpa1-3DGalpb1-4DGlcpNAcb1-ROH,GLA(3_D_)-GAL(2_D_)-NAG(1_D_),D GLA 3 C2 C1 GAL 2 O3 C3,D GLA 3 C1 GAL 2 O3 C3 C4,186.933,65.578,"(['GLA(3_D_)', 'GAL(2_D_)'], [15.04, 11.02])","(['3.D', '2.D'], ['4C1', '4C1'])"
2g7c.pdb,DGalpa1-3DGalpb1-4DGlcpNAcb1-ROH,GLA(3_C_)-GAL(2_C_)-NAG(1_C_),C GLA 3 C2 C1 GAL 2 O3 C3,C GLA 3 C1 GAL 2 O3 C3 C4,193.565,60.5144,"(['GLA(3_C_)', 'GAL(2_C_)'], [36.4, 28.84])","(['3.C', '2.C'], ['4C1', '4C1'])"
2g7c.pdb,DGalpa1-3DGalpb1-4DGlcpNAcb1-ROH,GLA(3_E_)-GAL(2_E_)-NAG(1_E_),E GLA 3 C2 C1 GAL 2 O3 C3,E GLA 3 C1 GAL 2 O3 C3 C4,191.462,64.4836,"(['GLA(3_E_)', 'GAL(2_E_)'], [36.52, 34.76])","(['3.E', '2.E'], ['4C1', '4C1'])"
2wmj.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_D_)-[FUC(2_D_)]-GAL(1_D_),D GLA 3 C2 C1 GAL 1 O3 C3,D GLA 3 C1 GAL 1 O3 C3 C4,189.874,61.8277,"(['GLA(3_D_)', 'GAL(1_D_)'], [5.11, 10.18])","(['3.D', '1.D'], ['4C1', '4C1'])"
2wmj.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_C_)-[FUC(2_C_)]-GAL(1_C_),C GLA 3 C2 C1 GAL 1 O3 C3,C GLA 3 C1 GAL 1 O3 C3 C4,186.959,66.933,"(['GLA(3_C_)', 'GAL(1_C_)'], [6.91, 11.48])","(['3.C', '1.C'], ['4C1', '-'])"
3q38.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_C_)-[FUC(2_C_)]-GAL(1_C_),C GLA 3 C2 C1 GAL 1 O3 C3,C GLA 3 C1 GAL 1 O3 C3 C4,193.191,77.4639,"(['GLA(3_C_)', 'GAL(1_C_)'], [50.09, 46.98])","(['3.C', '1.C'], ['4C1', '4C1'])"
5f9d.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(7_B_)-[GLA(6_B_)-[FUC(5_B_)]-GAL(4_B_)]-NAG(3_B_)-GAL(2_B_)-BGC(1_B_),B GLA 6 C2 C1 GAL 4 O3 C3,B GLA 6 C1 GAL 4 O3 C3 C4,174.833,71.2424,"(['GLA(6_B_)', 'GAL(4_B_)'], [135.77, 137.53])","(['6.B', '4.B'], ['-', '4C1'])"
